,country,type,bus_inflow,bus_outflow,capacity_pump,capacity_turbine,nominal_storable_energy,max,loss_rate,efficiency_pump,efficiency_turbine,initial_storage_level,min_storage_level,max_storage_level,max_invest_pump,min_invest_pump,max_invest_turbine,min_invest_turbine,max_invest,min_invest,unit_lifetime_pump,unit_lifetime_turbine,unit_lifetime,invest_relation_input_output,invest_relation_input_capacity,invest_relation_output_capacity,max_load_factor,min_load_factor
DE_storage_el_PHS,DE,phes,DE_bus_el,DE_bus_el,8680.75,4475.25,25116.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
AT_storage_el_PHS,AT,phes,AT_bus_el,AT_bus_el,3277.0,3277.0,13108.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
BE_storage_el_PHS,BE,phes,BE_bus_el,BE_bus_el,1307.5,1307.5,5230.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
CH_storage_el_PHS,CH,phes,CH_bus_el,CH_bus_el,3848.7599999999993,3848.7599999999993,15395.039999999997,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
CZ_storage_el_PHS,CZ,phes,CZ_bus_el,CZ_bus_el,1195.0095516678389,1195.0095516678389,4780.0382066713555,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
FR_storage_el_PHS,FR,phes,FR_bus_el,FR_bus_el,5289.0,5289.0,21156.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NO2_storage_el_PHS,NO2,phes,NO2_bus_el,NO2_bus_el,840.0,840.0,3360.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NO3_storage_el_PHS,NO3,phes,NO3_bus_el,NO3_bus_el,60.3,60.3,241.2,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
NO5_storage_el_PHS,NO5,phes,NO5_bus_el,NO5_bus_el,444.0,444.0,1776.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
PL_storage_el_PHS,PL,phes,PL_bus_el,PL_bus_el,1793.2394904458595,1793.2394904458595,7172.957961783438,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
SE2_storage_el_PHS,SE2,phes,SE2_bus_el,SE2_bus_el,334.0,334.0,1336.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
SE3_storage_el_PHS,SE3,phes,SE3_bus_el,SE3_bus_el,92.0,92.0,368.0,1.0,0.01,0.9,0.9,0.5,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,1.0,0.0
AT_storage_el_reservoir,AT,reservoir,AT_bus_hydro,AT_bus_el,100000.0,6571.104076433122,1359023.0,1.0,0.0,1.0,0.85,0.3306566555532909,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.28,0.0
CH_storage_el_reservoir,CH,reservoir,CH_bus_hydro,CH_bus_el,100000.0,10169.899999999998,4938676.0,1.0,1e-05,1.0,0.85,0.5036637349767428,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.32,0.01
FR_storage_el_reservoir,FR,reservoir,FR_bus_hydro,FR_bus_el,100000.0,12196.983313431163,1711082.0,1.0,0.0,1.0,0.85,0.5210562673209116,0.0,1.0,,0.0,,0.0,,0.0,30.0,30.0,100.0,1.0,,,0.45,0.0
